"","Gstrength_in_final"
"AFG",7537603237780.16
"ALB",947023795894.26
"ANT",0
"ARB",22044830000
"ARE",5706277698508.02
"ARG",21205098333.3333
"ARM",924118067647.112
"ATG",19899130000
"AUS",812128385463.296
"AUT",4289487223548.45
"AZE",4321922458112.91
"BDI",205161102130.239
"BEL",15847184053417.2
"BEN",665882842001.721
"BFA",835095745109.664
"BGD",18172037470024.1
"BGR",305476944283.172
"BHR",356559145466.82
"BHS",45919123333.3333
"BIH",1700501180000
"BLR",318079469319.529
"BLZ",72314518597.8706
"BMU",17575391666.6667
"BOL",1189422628333.33
"BRA",21391736410000
"BRB",94020518333.3333
"BRN",63372308483.3333
"BTN",9713490000
"BWA",292365726731.486
"CAF",43741013049.7527
"CAN",2587887200456
"CHE",2372026132386.67
"CHL",3728578490610.88
"CHN",12273414996159.5
"CIV",2178572012604.77
"CMR",2228749979814.32
"COD",1186539065957.35
"COG",773988227055.135
"COK",4443830000
"COL",6524415013333.33
"COM",45983337490.1041
"CPV",94701912647.9322
"CRI",1036258578333.33
"CUB",2786074432403.02
"CYP",505664105035.605
"CZE",1078576357407.78
"DEU",19396970515189.1
"DJI",1939983843403.29
"DMA",7308190000
"DNK",1606686884514.29
"DOM",1805046753080.67
"DZA",27475339235818.4
"ECU",3419993775422.78
"EGY",36431676924565
"ERI",174780656666.667
"ESP",21378140532363
"EST",256798305219.552
"ETH",4796624651772.91
"FIN",463657570704.779
"FJI",514291280000
"FRA",7999411571071.51
"FRO",53102283333.3333
"GAB",398928144833.333
"GBR",8874888520611.71
"GEO",1853574731330.62
"GHA",2552659945603.42
"GIN",982650518093.142
"GMB",259214936080.594
"GNB",60555730000
"GNQ",104173123357.768
"GRC",3758265724849.09
"GRD",61997276666.6667
"GRL",16593917262.2377
"GTM",2351045043333.33
"GUY",222175881053.223
"HKG",1301969347052.43
"HND",1116151656666.67
"HRV",684753231666.667
"HTI",1034036564238.77
"HUN",1054236577014.76
"IDN",32793132924750.9
"IND",6803018603487.84
"IRL",2470300139593.1
"IRN",10391796515668.2
"IRQ",7169112153146.2
"ISL",180965736459.399
"ISR",5642728562013.56
"ITA",25182231907907.5
"JAM",644511273333.333
"JOR",3753151370322.63
"JPN",19911540415151.6
"KAZ",418907942400.428
"KEN",6279818340831.29
"KGZ",1141623900165.95
"KHM",196820724103.669
"KIR",16082096666.6667
"KNA",6894980000
"KOR",14650304790541.4
"KWT",1683581330607.7
"LAO",52146376666.6667
"LBN",3331802625522.61
"LBR",231958731500.255
"LBY",4514247537556.84
"LCA",44948308333.3333
"LKA",3349581484253.46
"LSO",162959046666.667
"LTU",597864089449.273
"LUX",517982475000
"LVA",2168495434059.32
"MAC",103134010305.902
"MAR",13361747566218.1
"MDA",115829231287.7
"MDG",692765193565.242
"MDV",113198117960.401
"MEX",16303118479689.1
"MKD",521093917226.084
"MLI",1120671162301.72
"MLT",223472808367.2
"MMR",1568067980901.23
"MNE",326738422633.468
"MNG",332455427209.293
"MOZ",2258764186675.94
"MRT",1865708934345.64
"MUS",585722128210.925
"MWI",697628531850.78
"MYS",5535521692032.71
"NAM",445184843976.93
"NCL",125325200000
"NER",254080539104.472
"NGA",15959772324848.5
"NIC",662780323658.889
"NLD",21493770897669.9
"NOR",1539731421174.23
"NPL",566473963539.85
"NZL",1920291754473.62
"OMN",2528765084799.23
"PAK",8765141131987.24
"PAN",713765168220.843
"PER",6368683575537.53
"PHL",15967909370811.1
"PNG",833070260000
"POL",3400696999831.62
"PRK",266064324924.06
"PRT",5584306948723.58
"PRY",78945663333.3333
"PSE",221548857194.949
"PYF",83677483333.3334
"QAT",705854760412.759
"ROU",5617416120487.55
"RUS",1895141682362.95
"RWA",388795124428.783
"SAU",11177518171907.9
"SDN",7300769540712.08
"SEN",2221264375329.18
"SGP",1443791686051.09
"SLB",61005763333.3333
"SLE",206245535983.673
"SLV",1137294261666.67
"SOM",1367727171422.92
"SRB",134683268188.959
"SSD",103457778208.798
"STP",34566405000
"SUR",86447247700
"SVK",777433735753.193
"SVN",784691007964.695
"SWE",1364742298642.55
"SWZ",71806783662.1924
"SYC",23111786250
"SYR",2085537853270.64
"TCD",173069163702.873
"TGO",501258887297.326
"THA",13971675661744.6
"TJK",3579614331286.37
"TKM",104065202179.675
"TLS",76658120000
"TON",20165893333.3333
"TTO",456629568333.333
"TUN",6474888439623.81
"TUR",14167256441658.2
"TUV",2093656666.66667
"TWN",4820062063488.8
"TZA",2943947885213.35
"UGA",1660345649885.19
"UKR",159470798511.454
"URY",104121403333.333
"USA",15497469080663.3
"UZB",7521500324689.84
"VCT",93678766666.6667
"VEN",4239135587459.89
"VNM",12921331679780.9
"VUT",52642775872.7754
"YEM",10749074659782.3
"ZAF",5865984090287.05
"ZMB",167985643425.987
"ZWE",844966662858.982
